airport_a,airport_b,risk_score,ml_risk_score,duty_flag,wocl_exposure_rate,mct_violation_rate,avg_conn_mins,n_sequences,recommendation
MDT,HNL,0.7238,0.6759,1,0.202510460251046,0.2456066945606694,110.6255230125523,2390.0,AVOID
MDT,PVU,0.7129,0.6071,1,0.4977578475336323,0.0,452.1488789237668,1115.0,AVOID
YUM,KOA,0.6961,0.5263,0,0.9215686274509804,0.0784313725490196,85.31372549019608,51.0,AVOID
MDT,HDN,0.6932,0.6069,0,0.40625,0.0491071428571428,164.34151785714286,448.0,AVOID
MDT,GUC,0.6891,0.6037,0,0.4043478260869565,0.0021739130434782,146.55,460.0,AVOID
MDT,SJU,0.6793,0.608,1,0.335221421215242,0.0901132852729145,474.8429454170958,1942.0,AVOID
MDT,ATW,0.6744,0.6028,1,0.3392226148409894,0.0,637.4911660777385,566.0,AVOID
MDT,ALB,0.6699,0.6153,1,0.2534818941504178,0.0,603.5403899721448,718.0,AVOID
MDT,OGG,0.6615,0.6264,0,0.16,0.1294736842105263,116.97526315789472,1900.0,AVOID
MDT,EGE,0.6558,0.6095,1,0.2172377251854468,0.0317908866125044,265.0229600847757,2831.0,AVOID
MDT,STT,0.6543,0.6055,0,0.2303030303030303,0.4303030303030303,57.03030303030303,165.0,AVOID
MDT,JAC,0.6526,0.6096,1,0.2015748031496063,0.0645669291338582,192.45721784776904,1905.0,AVOID
MDT,MGM,0.6497,0.6101,1,0.1855381165919282,0.0417600896860986,429.16283632287,3568.0,AVOID
MDT,ASE,0.6489,0.6064,1,0.2002491435689816,0.0513858611024602,224.7502335720959,3211.0,AVOID
MDT,LAW,0.6486,0.6107,1,0.1774239408586863,0.0673869775376741,535.8117713960762,3517.0,AVOID
MDT,MHK,0.6485,0.6057,1,0.2019042285074209,0.0207224866984038,443.7978157378885,3571.0,AVOID
MDT,MTJ,0.6485,0.6082,0,0.1890889830508474,0.0407838983050847,190.28125,1888.0,AVOID
MDT,ILM,0.6483,0.6102,1,0.1782682512733446,0.0,367.93803056027167,2356.0,AVOID
MDT,FSD,0.6477,0.6091,1,0.1812849906691549,0.0005331911490269,370.624633431085,3751.0,AVOID
MDT,DSM,0.6476,0.6105,1,0.1736063708759954,0.0664391353811149,432.320819112628,4395.0,AVOID
MDT,ELP,0.6473,0.6099,1,0.1753095975232198,0.0256385448916408,445.8164667182663,10336.0,AVOID
MDT,LFT,0.6469,0.6101,1,0.172557896569737,0.0414417551802194,435.57879157234896,5743.0,AVOID
MDT,PSP,0.6469,0.6059,1,0.1931886678722121,0.0575647980711271,371.9749849306812,3318.0,AVOID
MDT,MKE,0.6468,0.6096,1,0.1744733581164808,0.0411400247831474,431.9303593556382,4035.0,AVOID
MDT,RSW,0.6468,0.6066,1,0.1891891891891892,0.0705591087270476,346.69094285124817,4847.0,AVOID
MDT,RNO,0.6467,0.6068,1,0.1881012658227848,0.060506329113924,453.3708860759494,3950.0,AVOID
MDT,SAT,0.6466,0.6088,1,0.1772065823473412,0.0247518019855841,459.3268733850129,14706.0,AVOID
MDT,AEX,0.6464,0.6068,1,0.1865881032547699,0.0754769921436588,514.8386644219978,3564.0,AVOID
MDT,ROW,0.6462,0.6078,1,0.1806105144149236,0.0045223289994347,461.42057659694746,3538.0,AVOID
MDT,FAT,0.6461,0.6083,1,0.1777114851907095,0.0534839122096739,464.846580012785,4693.0,AVOID
MDT,BNA,0.6459,0.6081,1,0.1776640297812936,0.0378780828292228,412.80679385760817,10745.0,AVOID
MDT,SRQ,0.6459,0.6064,1,0.186031746031746,0.0038095238095238,238.1136507936508,1575.0,AVOID
MDT,TUS,0.6459,0.6089,1,0.1734593665602749,0.0294623127915541,403.3442180211146,8146.0,AVOID
MDT,HRL,0.6457,0.6046,1,0.194160272804774,0.0270673486786018,469.6538789428815,4692.0,AVOID
MDT,MFE,0.6457,0.6071,1,0.1815286624203821,0.0303772660460558,453.89759921607055,8164.0,AVOID
MDT,SYR,0.6457,0.6132,1,0.15137956748695,0.0,590.8844146159582,1341.0,AVOID
MDT,FAR,0.6456,0.6026,1,0.2037377450980392,0.0337009803921568,368.3866421568628,3264.0,AVOID
MDT,PBI,0.6455,0.6065,1,0.1839440694310511,0.0294117647058823,345.7082931533269,4148.0,AVOID
MDT,HSV,0.6454,0.6089,1,0.1711568938193343,0.0233395764299092,420.1934879700331,6941.0,AVOID
MDT,BPT,0.6453,0.6134,1,0.1488039763901832,0.0195712954333644,453.58807082945015,3219.0,AVOID
MDT,TPA,0.6452,0.6066,1,0.1817204301075269,0.0472043010752688,394.484623655914,9300.0,AVOID
MDT,COS,0.6451,0.609,1,0.1693490955704315,0.0539809143996581,431.9893177610027,7021.0,AVOID
MDT,PNS,0.645,0.6099,1,0.164271775767252,0.0507362072024126,396.2845485187156,5637.0,AVOID
MDT,PHX,0.6449,0.6066,1,0.1803010655691492,0.0204093138636748,448.4740373231099,17737.0,AVOID
MDT,IND,0.6447,0.6097,1,0.1639835858585858,0.013415404040404,437.1510416666667,6336.0,AVOID
MDT,LAS,0.6447,0.608,1,0.1723136495643756,0.0300580832526621,463.5433204259439,20660.0,AVOID
MDT,VPS,0.6445,0.6085,1,0.1688364524003254,0.0457689178193653,407.7654597233523,4916.0,AVOID
MDT,JFK,0.6444,0.6082,1,0.1698568718744611,0.0729436109674081,283.6456285566477,5799.0,AVOID
MDT,SMF,0.6443,0.6069,1,0.1761153975176115,0.0551828245555182,473.2608185172761,5962.0,AVOID
MDT,DTW,0.6442,0.6066,1,0.1772005294506949,0.0286234281932495,369.38451356717405,12088.0,AVOID
